[2018-06-05 09:27:44 traclus_consumer.read_queue DEBUG =======>debug]
[2018-06-05 09:27:50 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377586', 'BATCH': '8152', 'LON': 121.4572, 'LAT': 31.01135, 'TIME': '2018/01/01 02:18:31', 'V': 0.01, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:50 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377586', 'BATCH': '8152', 'LON': 121.4572017, 'LAT': 31.0113234, 'TIME': '2018/01/01 02:22:32', 'V': 0.02, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:50 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377586', 'BATCH': '8152', 'LON': 121.4572117, 'LAT': 31.011335, 'TIME': '2018/01/01 02:47:53', 'V': 0.01, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:50 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377586', 'BATCH': '8152', 'LON': 121.4572133, 'LAT': 31.0113484, 'TIME': '2018/01/01 02:55:59', 'V': 0.0, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:50 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377586', 'BATCH': '8152', 'LON': 121.4572067, 'LAT': 31.0113417, 'TIME': '2018/01/01 03:15:37', 'V': 0.01, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:50 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377586', 'BATCH': '8152', 'LON': 121.4572283, 'LAT': 31.0113384, 'TIME': '2018/01/01 03:19:38', 'V': 0.01, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:50 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377586', 'BATCH': '8152', 'LON': 121.4572117, 'LAT': 31.0113484, 'TIME': '2018/01/01 03:23:44', 'V': 0.01, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:50 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377586', 'BATCH': '8152', 'LON': 121.4572167, 'LAT': 31.0113417, 'TIME': '2018/01/01 03:27:44', 'V': 0.01, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:50 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377586', 'BATCH': '8152', 'LON': 121.457225, 'LAT': 31.0113484, 'TIME': '2018/01/01 03:31:50', 'V': 0.01, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
[2018-06-05 09:27:50 traclus_consumer.detect_procss DEBUG =======>{'point': {'US': '51401351377586', 'BATCH': '8152', 'LON': 121.4572183, 'LAT': 31.0113467, 'TIME': '2018/01/01 03:35:51', 'V': 0.01, 'C': -1.0}, 'yaw': 0, 'cheat': 0, 'cluster': -1, 'abnormal_velocity': 0}]
